code,name,verdict,match_basis,db_id,db_name,matched_name
10001,Sữa bò tươi,duplicate-vietnamese,name,fao_vn_2007_10001_raw,Sữa bò tươi,Sữa bò tươi
10002,Sữa dê tươi,duplicate-vietnamese,name,fao_vn_2007_10002_raw,Sữa dê tươi,Sữa dê tươi
10003,Sữa mẹ (sữa người),duplicate-vietnamese,name,fao_vn_2007_10003_raw,Sữa mẹ (sữa người),Sữa mẹ (sữa người)
10004,Sữa chua,duplicate-vietnamese,code-lineage,fao_vn_2007_10004_raw,Sữa chua (từ sữa bò),Sữa chua (từ sữa bò)
10005,Sữa chua vớt béo,duplicate-vietnamese,name,fao_vn_2007_10005_raw,Sữa chua vớt béo,Sữa chua vớt béo
10006,Sữa bột toàn phần,duplicate-vietnamese,name,fao_vn_2007_10006_raw,Sữa bột toàn phần,Sữa bột toàn phần
10007,Sữa bột tách béo,duplicate-vietnamese,name,fao_vn_2007_10007_raw,Sữa bột tách béo,Sữa bột tách béo
10008,Sữa đặc có đường Việt Nam,duplicate-vietnamese,name,fao_vn_2007_10008_raw,Sữa đặc có đường Việt Nam,Sữa đặc có đường Việt Nam
10009,Phó mát,duplicate-vietnamese,code-lineage,fao_vn_2007_10009_raw,Pho mát,Pho mát
1001,"Gạo, trắng, nếp cái, sống",duplicate-vietnamese,code-lineage,fao_vn_2007_1001_raw,Gạo nếp cái,Gạo nếp cái
10015,"Sữa, bò, tiệt trùng, có đường, toàn phần, trắng ",keep-no-match,none,,,
1002,"Gạo, trắng, nếp thường, sống",keep-no-match,none,,,
1003,"Gạo, trắng, tẻ, giã tay, sống",duplicate-vietnamese,code-lineage,fao_vn_2007_1003_raw,Gạo tẻ giã,Gạo tẻ giã
10031,"Sữa chua, nước/uống, có đường",keep-no-match,none,,,
10035,"Sữa chua, đặc, có đường",keep-no-match,none,,,
10036,"Sữa chua, đặc, không đường",keep-no-match,none,,,
